symbol	price	datetime
SCTY	22.19	2016-03-29 11:26:00
SCTY	22.17	2016-03-29 11:27:00
SCTY	22.14	2016-03-29 11:28:00
SCTY	22.2	2016-03-29 11:29:00
SCTY	22.18	2016-03-29 11:30:00
SCTY	22.17	2016-03-29 11:31:00
SCTY	22.14	2016-03-29 11:32:00
SCTY	22.08	2016-03-29 11:33:00
SCTY	22.08	2016-03-29 11:34:00
SCTY	22.06	2016-03-29 11:35:00
SCTY	22.1	2016-03-29 11:36:00
SCTY	22.08	2016-03-29 11:37:00
SCTY	22.12	2016-03-29 11:38:00
SCTY	22.11	2016-03-29 11:39:00
SCTY	22.2	2016-03-29 11:40:00
SCTY	22.2	2016-03-29 11:41:00
SCTY	22.22	2016-03-29 11:42:00
SCTY	22.2	2016-03-29 11:43:00
SCTY	22.22	2016-03-29 11:44:00
SCTY	22.26	2016-03-29 11:45:00
SCTY	22.38	2016-03-29 11:46:00
SCTY	22.37	2016-03-29 11:47:00
SCTY	22.33	2016-03-29 11:48:00
SCTY	22.37	2016-03-29 11:49:00
SCTY	22.41	2016-03-29 11:50:00
SCTY	22.43	2016-03-29 11:51:00
SCTY	22.37	2016-03-29 11:52:00
SCTY	22.38	2016-03-29 11:53:00
SCTY	22.3	2016-03-29 11:54:00
SCTY	22.26	2016-03-29 11:55:00
SCTY	22.31	2016-03-29 11:56:00
SCTY	22.31	2016-03-29 11:57:00
SCTY	22.33	2016-03-29 11:58:00
SCTY	22.32	2016-03-29 11:59:00
SCTY	22.32	2016-03-29 12:00:00
SCTY	22.2	2016-03-29 12:01:00
SCTY	22.22	2016-03-29 12:02:00
SCTY	22.18	2016-03-29 12:03:00
SCTY	22.19	2016-03-29 12:04:00
SCTY	22.18	2016-03-29 12:05:00
SCTY	22.24	2016-03-29 12:06:00
SCTY	22.25	2016-03-29 12:07:00
SCTY	22.2	2016-03-29 12:08:00
SCTY	22.21	2016-03-29 12:09:00
SCTY	22.28	2016-03-29 12:10:00
SCTY	22.26	2016-03-29 12:11:00
SCTY	22.2	2016-03-29 12:12:00
SCTY	22.21	2016-03-29 12:13:00
SCTY	22.23	2016-03-29 12:14:00
SCTY	22.22	2016-03-29 12:15:00
SCTY	22.24	2016-03-29 12:16:00
SCTY	22.2	2016-03-29 12:17:00
SCTY	22.18	2016-03-29 12:18:00
SCTY	22.14	2016-03-29 12:19:00
SCTY	22.17	2016-03-29 12:20:00
SCTY	22.26	2016-03-29 12:21:00
SCTY	22.27	2016-03-29 12:22:00
SCTY	22.28	2016-03-29 12:23:00
SCTY	22.26	2016-03-29 12:24:00
SCTY	22.28	2016-03-29 12:25:00
SCTY	22.18	2016-03-29 12:26:00
SCTY	22.14	2016-03-29 12:27:00
SCTY	22.13	2016-03-29 12:28:00
SCTY	22.18	2016-03-29 12:29:00
SCTY	22.24	2016-03-29 12:30:00
SCTY	22.3	2016-03-29 12:31:00
SCTY	22.28	2016-03-29 12:32:00
SCTY	22.25	2016-03-29 12:33:00
SCTY	22.22	2016-03-29 12:34:00
SCTY	22.31	2016-03-29 12:35:00
SCTY	22.29	2016-03-29 12:36:00
SCTY	22.26	2016-03-29 12:37:00
SCTY	22.24	2016-03-29 12:38:00
SCTY	22.25	2016-03-29 12:39:00
SCTY	22.24	2016-03-29 12:40:00
SCTY	22.3	2016-03-29 12:41:00
SCTY	22.33	2016-03-29 12:42:00
SCTY	22.32	2016-03-29 12:43:00
SCTY	22.37	2016-03-29 12:44:00
SCTY	22.38	2016-03-29 12:45:00
SCTY	22.4	2016-03-29 12:46:00
SCTY	22.44	2016-03-29 12:47:00
SCTY	22.42	2016-03-29 12:48:00
SCTY	22.43	2016-03-29 12:49:00
SCTY	22.43	2016-03-29 12:50:00
SCTY	22.43	2016-03-29 12:51:00
SCTY	22.43	2016-03-29 12:52:00
SCTY	22.43	2016-03-29 12:53:00
SCTY	22.41	2016-03-29 12:54:00
SCTY	22.34	2016-03-29 12:55:00
SCTY	22.34	2016-03-29 12:56:00
SCTY	22.35	2016-03-29 12:57:00
SCTY	22.32	2016-03-29 12:58:00
SCTY	22.31	2016-03-29 12:59:00
SCTY	22.33	2016-03-29 13:00:00
SCTY	22.34	2016-03-29 13:01:00
SCTY	22.34	2016-03-29 13:02:00
SCTY	22.34	2016-03-29 13:03:00
SCTY	22.37	2016-03-29 13:04:00
SCTY	22.29	2016-03-29 13:05:00
SCTY	22.22	2016-03-29 13:06:00
SCTY	22.31	2016-03-29 13:07:00
SCTY	22.31	2016-03-29 13:08:00
SCTY	22.32	2016-03-29 13:09:00
SCTY	22.33	2016-03-29 13:10:00
SCTY	22.33	2016-03-29 13:11:00
SCTY	22.3	2016-03-29 13:12:00
SCTY	22.35	2016-03-29 13:13:00
SCTY	22.34	2016-03-29 13:14:00
SCTY	22.35	2016-03-29 13:15:00
SCTY	22.39	2016-03-29 13:16:00
SCTY	22.41	2016-03-29 13:17:00
SCTY	22.43	2016-03-29 13:18:00
SCTY	22.42	2016-03-29 13:19:00
SCTY	22.36	2016-03-29 13:20:00
SCTY	22.39	2016-03-29 13:21:00
SCTY	22.42	2016-03-29 13:22:00
SCTY	22.41	2016-03-29 13:23:00
SCTY	22.39	2016-03-29 13:24:00
SCTY	22.4	2016-03-29 13:25:00
SCTY	22.38	2016-03-29 13:26:00
SCTY	22.35	2016-03-29 13:27:00
SCTY	22.36	2016-03-29 13:28:00
SCTY	22.39	2016-03-29 13:29:00
SCTY	22.42	2016-03-29 13:30:00
SCTY	22.34	2016-03-29 13:31:00
SCTY	22.39	2016-03-29 13:32:00
SCTY	22.42	2016-03-29 13:33:00
SCTY	22.41	2016-03-29 13:34:00
